full_name,birthdate,birthday,gender,type,start_term,end_term,state,class,district,party,how,zodiac_sign,age_start,age_start,age_end,age_end,duration_days,duration_years,duration_months
William  McKinley,,,M,rep,1809-05-22,1811-03-03,VA,,1.0,Republican,,,,,,,650.0,1.0,9.0
Pleasant Moorman Miller,,,M,rep,1809-05-22,1811-03-03,TN,,2.0,Republican,,,,,,,650.0,1.0,9.0
Gurdon Saltonstall Mumford,1764-01-29,01-29,M,rep,1805-12-02,1807-03-03,NY,,3.0,Republican,,Aquarius,41.0,41.0,43.0,43.0,456.0,1.0,3.0
Roger  Nelson,,,M,rep,1803-10-17,1805-03-03,MD,,4.0,Republican,,,,,,,503.0,1.0,4.0
Wilson Cary Nicholas,1761-01-31,01-31,M,sen,1799-12-02,1805-03-03,VA,2.0,,Republican,,Aquarius,38.0,38.0,44.0,44.0,1917.0,5.0,3.0
John  Nicholson,,,M,rep,1809-05-22,1811-03-03,NY,,10.0,Republican,,,,,,,650.0,1.0,9.0
Benjamin  Pickman Jr.,1763-09-30,09-30,M,rep,1809-05-22,1811-03-03,MA,,2.0,Federalist,,Libra,45.0,45.0,47.0,47.0,650.0,1.0,9.0
John  Porter,,,M,rep,1805-12-02,1807-03-03,PA,,1.0,Republican,,,,,,,456.0,1.0,3.0
Julien de Lallande Poydras,1740-04-03,04-03,M,rep,1809-05-22,1811-03-03,OL,,-1.0,,,Aries,69.0,69.0,70.0,70.0,650.0,1.0,9.0
Matthias  Richards,1758-02-26,02-26,M,rep,1807-10-26,1809-03-03,PA,,3.0,Republican,,Pisces,49.0,49.0,51.0,51.0,494.0,1.0,4.0
Jonathan  Robinson,1756-08-11,08-11,M,sen,1807-10-26,1809-03-03,VT,1.0,,Republican,,Leo,51.0,51.0,52.0,52.0,494.0,1.0,4.0
Benjamin  Say,1755-08-28,08-28,M,rep,1807-10-26,1809-03-03,PA,,1.0,Republican,,Virgo,52.0,52.0,53.0,53.0,494.0,1.0,4.0
John Anderson Scudder,1759-03-22,03-22,M,rep,1809-05-22,1811-03-03,NJ,,-1.0,Republican,,Aries,50.0,50.0,51.0,51.0,650.0,1.0,9.0
Dennis  Smelt,1763-11-23,11-23,M,rep,1806-09-01,1807-03-03,GA,,0.0,Republican,,Sagittarius,42.0,42.0,43.0,43.0,183.0,0.0,6.0
Samuel  Smith,,,M,rep,1805-12-02,1807-03-03,PA,,11.0,Republican,,,,,,,456.0,1.0,3.0
John  Stanly,1774-04-09,04-09,M,rep,1801-12-07,1803-03-03,NC,,10.0,Federalist,,Aries,27.0,27.0,28.0,28.0,451.0,1.0,2.0
William  Stedman,1765-01-21,01-21,M,rep,1803-10-17,1805-03-03,MA,,11.0,Federalist,,Aquarius,38.0,38.0,40.0,40.0,503.0,1.0,4.0
Jacob  Swoope,,,M,rep,1809-05-22,1811-03-03,VA,,4.0,Federalist,,,,,,,650.0,1.0,9.0
John  Thompson,1749-03-20,03-20,M,rep,1799-12-02,1801-03-03,NY,,7.0,Republican,,Pisces,50.0,50.0,51.0,51.0,456.0,1.0,3.0
Jabez  Upham,1764-08-23,08-23,M,rep,1807-10-26,1809-03-03,MA,,10.0,Federalist,,Virgo,43.0,43.0,44.0,44.0,494.0,1.0,4.0
Archibald  Van Horne,,,M,rep,1807-10-26,1809-03-03,MD,,2.0,Republican,,,,,,,494.0,1.0,4.0
Killian Killian Van Rensselaer,1763-06-09,06-09,M,rep,1801-12-07,1803-03-03,NY,,8.0,Federalist,,Gemini,38.0,38.0,39.0,39.0,451.0,1.0,2.0
Robert  Weakley,1764-07-20,07-20,M,rep,1809-05-22,1811-03-03,TN,,3.0,Republican,,Cancer,44.0,44.0,46.0,46.0,650.0,1.0,9.0
Jenkin  Whiteside,,,M,sen,1809-05-22,1811-03-03,TN,2.0,,Republican,,,,,,,650.0,1.0,9.0
James  Wilson,1766-08-16,08-16,M,rep,1809-05-22,1811-03-03,NH,,-1.0,Federalist,,Leo,42.0,42.0,44.0,44.0,650.0,1.0,9.0
Robert  Witherspoon,1767-01-29,01-29,M,rep,1809-05-22,1811-03-03,SC,,3.0,Republican,,Aquarius,42.0,42.0,44.0,44.0,650.0,1.0,9.0
Charles  Cutts,1769-01-31,01-31,M,sen,1810-01-01,1813-03-03,NH,3.0,,Republican,,Aquarius,40.0,40.0,44.0,44.0,1157.0,3.0,2.0
John  Taylor,1770-05-04,05-04,M,rep,1807-10-26,1809-03-03,SC,,4.0,Republican,,Taurus,37.0,37.0,38.0,38.0,494.0,1.0,4.0
Thomas  Worthington,1773-07-16,07-16,M,sen,1803-10-17,1807-03-03,OH,3.0,,Republican,,Cancer,30.0,30.0,33.0,33.0,1233.0,3.0,4.0
Ezekiel  Bacon,1776-09-01,09-01,M,rep,1807-10-26,1809-03-03,MA,,12.0,Republican,,Virgo,31.0,31.0,32.0,32.0,494.0,1.0,4.0
John  Baker,,,M,rep,1811-11-04,1813-03-03,VA,,2.0,Federalist,,,,,,,485.0,1.0,4.0
Josiah  Bartlett Jr.,1768-08-29,08-29,M,rep,1811-11-04,1813-03-03,NH,,-1.0,Republican,,Virgo,43.0,43.0,44.0,44.0,485.0,1.0,4.0
James Asheton Bayard Sr.,1767-07-28,07-28,M,rep,1797-05-15,1799-03-03,DE,,0.0,Federalist,,Leo,29.0,29.0,31.0,31.0,657.0,1.0,9.0
William  Blackledge,,,M,rep,1803-10-17,1805-03-03,NC,,4.0,Republican,,,,,,,503.0,1.0,4.0
Harmanus  Bleecker,1779-10-09,10-09,M,rep,1811-11-04,1813-03-03,NY,,7.0,Federalist,,Libra,32.0,32.0,33.0,33.0,485.0,1.0,4.0
Thomas  Blount,1759-05-10,05-10,M,rep,1793-12-02,1795-03-03,NC,,9.0,Republican,,Taurus,34.0,34.0,35.0,35.0,456.0,1.0,3.0
Adam  Boyd,1746-03-21,03-21,M,rep,1803-10-17,1805-03-03,NJ,,-1.0,Republican,,Aries,57.0,57.0,58.0,58.0,503.0,1.0,4.0
William  Butler,1759-12-17,12-17,M,rep,1801-12-07,1803-03-03,SC,,5.0,Republican,,Sagittarius,42.0,42.0,43.0,43.0,451.0,1.0,2.0
Francis  Carr,1751-12-06,12-06,M,rep,1811-11-04,1813-03-03,MA,,17.0,Republican,,Sagittarius,59.0,59.0,61.0,61.0,485.0,1.0,4.0
Martin  Chittenden,1763-03-12,03-12,M,rep,1803-10-17,1805-03-03,VT,,4.0,Federalist,,Pisces,40.0,40.0,42.0,42.0,503.0,1.0,4.0
Howell  Cobb,1772-08-03,08-03,M,rep,1807-10-26,1809-03-03,GA,,-1.0,Republican,,Leo,35.0,35.0,36.0,36.0,494.0,1.0,4.0
James  Cochran,,,M,rep,1809-05-22,1811-03-03,NC,,9.0,Republican,,,,,,,650.0,1.0,9.0
Thomas Burrage Cooke,1778-11-21,11-21,M,rep,1811-11-04,1813-03-03,NY,,5.0,Republican,,Scorpio,32.0,32.0,34.0,34.0,485.0,1.0,4.0
William Harris Crawford,1772-02-24,02-24,M,sen,1807-10-26,1811-03-03,GA,2.0,,Republican,,Pisces,35.0,35.0,39.0,39.0,1224.0,3.0,4.0
Richard  Cutts,1771-06-28,06-28,M,rep,1801-12-07,1803-03-03,MA,,14.0,Republican,,Cancer,30.0,30.0,31.0,31.0,451.0,1.0,2.0
Samuel  Dinsmoor,1766-07-01,07-01,M,rep,1811-11-04,1813-03-03,NH,,-1.0,Republican,,Cancer,45.0,45.0,46.0,46.0,485.0,1.0,4.0
James  Emott,1771-03-09,03-09,M,rep,1809-05-22,1811-03-03,NY,,4.0,Federalist,,Pisces,38.0,38.0,40.0,40.0,650.0,1.0,9.0
Asa  Fitch,1765-11-10,11-10,M,rep,1811-11-04,1813-03-03,NY,,6.0,Federalist,,Scorpio,46.0,46.0,47.0,47.0,485.0,1.0,4.0
Barzillai  Gannett,1764-06-17,06-17,M,rep,1809-05-22,1811-03-03,MA,,17.0,Republican,,Gemini,44.0,44.0,46.0,46.0,650.0,1.0,9.0
William Branch Giles,1762-08-12,08-12,M,rep,1790-12-07,1791-03-03,VA,,9.0,Republican,,Leo,28.0,28.0,28.0,28.0,86.0,0.0,2.0
Nicholas  Gilman,1755-08-03,08-03,M,rep,1789-03-04,1791-03-03,NH,,-1.0,Democratic Republican,,Leo,33.0,33.0,35.0,35.0,729.0,1.0,12.0
Edwin  Gray,1743-07-18,07-18,M,rep,1799-12-02,1801-03-03,VA,,10.0,Republican,,Cancer,56.0,56.0,57.0,57.0,456.0,1.0,3.0
Isaiah Lewis Green,1761-12-28,12-28,M,rep,1805-12-02,1807-03-03,MA,,8.0,Republican,,Capricorn,43.0,43.0,45.0,45.0,456.0,1.0,3.0
Obed  Hall,1757-12-23,12-23,M,rep,1811-11-04,1813-03-03,NH,,-1.0,Republican,,Capricorn,53.0,53.0,55.0,55.0,485.0,1.0,4.0
John Adams Harper,1779-11-02,11-02,M,rep,1811-11-04,1813-03-03,NH,,-1.0,Republican,,Scorpio,32.0,32.0,33.0,33.0,485.0,1.0,4.0
Jeremiah Brown Howell,1771-08-28,08-28,M,sen,1811-11-04,1817-03-03,RI,2.0,,Republican,,Virgo,40.0,40.0,45.0,45.0,1946.0,5.0,4.0
Philip Barton Key,1757-04-12,04-12,M,rep,1807-10-26,1809-03-03,MD,,3.0,Federalist,,Aries,50.0,50.0,51.0,51.0,494.0,1.0,4.0
Joseph  Lefever,1760-04-03,04-03,M,rep,1811-11-04,1813-03-03,PA,,3.0,Republican,,Aries,51.0,51.0,52.0,52.0,485.0,1.0,4.0
Robert Le Roy Livingston,,,M,rep,1809-05-22,1811-03-03,NY,,6.0,Federalist,,,,,,,650.0,1.0,9.0
George Clifford Maxwell,1771-05-31,05-31,M,rep,1811-11-04,1813-03-03,NJ,,-1.0,Republican,,Gemini,40.0,40.0,41.0,41.0,485.0,1.0,4.0
Archibald  McBryde,1766-09-28,09-28,M,rep,1809-05-22,1811-03-03,NC,,7.0,Federalist,,Libra,42.0,42.0,44.0,44.0,650.0,1.0,9.0
Arunah  Metcalf,1771-08-15,08-15,M,rep,1811-11-04,1813-03-03,NY,,12.0,Republican,,Leo,40.0,40.0,41.0,41.0,485.0,1.0,4.0
James  Milnor,1773-06-20,06-20,M,rep,1811-11-04,1813-03-03,PA,,1.0,Federalist,,Gemini,38.0,38.0,39.0,39.0,485.0,1.0,4.0
Samuel Latham Mitchill,1764-08-20,08-20,M,rep,1801-12-07,1803-03-03,NY,,2.0,Republican,,Leo,37.0,37.0,38.0,38.0,451.0,1.0,2.0
John  Montgomery,,,M,rep,1807-10-26,1809-03-03,MD,,6.0,Republican,,,,,,,494.0,1.0,4.0
James  Morgan,1756-12-29,12-29,M,rep,1811-11-04,1813-03-03,NJ,,-1.0,Republican,,Capricorn,54.0,54.0,56.0,56.0,485.0,1.0,4.0
Thomas  Newbold,1760-08-02,08-02,M,rep,1807-10-26,1809-03-03,NJ,,-1.0,Republican,,Leo,47.0,47.0,48.0,48.0,494.0,1.0,4.0
William  Paulding Jr.,1770-03-07,03-07,M,rep,1811-11-04,1813-03-03,NY,,2.0,Republican,,Pisces,41.0,41.0,43.0,43.0,485.0,1.0,4.0
Benjamin  Pond,,,M,rep,1811-11-04,1813-03-03,NY,,8.0,Republican,,,,,,,485.0,1.0,4.0
Josiah  Quincy,1772-02-04,02-04,M,rep,1805-12-02,1807-03-03,MA,,1.0,Federalist,,Aquarius,33.0,33.0,35.0,35.0,456.0,1.0,3.0
William  Rodman,1757-10-07,10-07,M,rep,1811-11-04,1813-03-03,PA,,2.0,Republican,,Libra,54.0,54.0,55.0,55.0,485.0,1.0,4.0
Thomas  Sammons,1762-10-01,10-01,M,rep,1803-10-17,1805-03-03,NY,,13.0,Republican,,Libra,41.0,41.0,42.0,42.0,503.0,1.0,4.0
Ebenezer  Seaver,1763-07-05,07-05,M,rep,1803-10-17,1805-03-03,MA,,13.0,Republican,,Cancer,40.0,40.0,41.0,41.0,503.0,1.0,4.0
Samuel  Shaw,,,M,rep,1807-10-26,1809-03-03,VT,,1.0,Republican,,,,,,,494.0,1.0,4.0
John  Smilie,,,M,rep,1793-12-02,1795-03-03,PA,,-1.0,Republican,,,,,,,456.0,1.0,3.0
George  Smith,,,M,rep,1809-05-22,1811-03-03,PA,,5.0,Republican,,,,,,,650.0,1.0,9.0
Silas  Stow,1773-12-21,12-21,M,rep,1811-11-04,1813-03-03,NY,,10.0,Republican,,Sagittarius,37.0,37.0,39.0,39.0,485.0,1.0,4.0
George  Sullivan,1771-08-29,08-29,M,rep,1811-11-04,1813-03-03,NH,,-1.0,Federalist,,Virgo,40.0,40.0,41.0,41.0,485.0,1.0,4.0
Peleg  Tallman,1764-07-24,07-24,M,rep,1811-11-04,1813-03-03,MA,,16.0,Republican,,Leo,47.0,47.0,48.0,48.0,485.0,1.0,4.0
Uri  Tracy,1764-02-08,02-08,M,rep,1805-12-02,1807-03-03,NY,,16.0,Republican,,Aquarius,41.0,41.0,43.0,43.0,456.0,1.0,3.0
Charles  Turner Jr.,1760-06-20,06-20,M,rep,1809-05-22,1811-03-03,MA,,7.0,Republican,,Gemini,48.0,48.0,50.0,50.0,650.0,1.0,9.0
James  Turner,1766-12-20,12-20,M,sen,1805-12-02,1811-03-03,NC,2.0,,Republican,,Sagittarius,38.0,38.0,44.0,44.0,1917.0,5.0,3.0
Pierre  Van Cortlandt Jr.,1762-08-29,08-29,M,rep,1811-11-04,1813-03-03,NY,,3.0,Republican,,Virgo,49.0,49.0,50.0,50.0,485.0,1.0,4.0
Joseph Bradley Varnum,1750-01-29,01-29,M,rep,1795-12-07,1797-03-03,MA,,9.0,Democratic Republican,,Aquarius,45.0,45.0,47.0,47.0,452.0,1.0,2.0
Leonard  White,1767-05-03,05-03,M,rep,1811-11-04,1813-03-03,MA,,3.0,Federalist,,Taurus,44.0,44.0,45.0,45.0,485.0,1.0,4.0
William  Widgery,,,M,rep,1811-11-04,1813-03-03,MA,,15.0,Republican,,,,,,,485.0,1.0,4.0
David Rogerson Williams,1776-03-08,03-08,M,rep,1805-12-02,1807-03-03,SC,,3.0,Republican,,Pisces,29.0,29.0,31.0,31.0,456.0,1.0,3.0
Thomas  Wilson,1765-09-11,09-11,M,rep,1811-11-04,1813-03-03,VA,,1.0,Federalist,,Virgo,46.0,46.0,47.0,47.0,485.0,1.0,4.0
Richard  Winn,,,M,rep,1793-12-02,1795-03-03,SC,,4.0,Republican,,,,,,,456.0,1.0,3.0
Jean Noel Destréhan,,,M,sen,1812-01-01,1813-03-03,LA,2.0,,Unknown,,,,,,,427.0,1.0,2.0
Allan Bowie Magruder,,,M,sen,1812-01-01,1813-03-03,LA,3.0,,Republican,,,,,,,427.0,1.0,2.0
Thomas  Posey,1750-07-09,07-09,M,sen,1812-01-01,1813-12-31,LA,2.0,,Republican,,Cancer,61.0,61.0,63.0,63.0,730.0,2.0,0.0
William  Barnett,1761-03-04,03-04,M,rep,1811-11-04,1813-03-03,GA,,-1.0,Republican,,Pisces,50.0,50.0,52.0,52.0,485.0,1.0,4.0
Thomas Monteagle Bayly,1775-03-26,03-26,M,rep,1813-05-24,1815-03-03,VA,,13.0,Federalist,,Aries,38.0,38.0,39.0,39.0,648.0,1.0,9.0
Reasin  Beall,1769-12-03,12-03,M,rep,1813-05-24,1815-03-03,OH,,6.0,Republican,,Sagittarius,43.0,43.0,45.0,45.0,648.0,1.0,9.0
Egbert  Benson,1746-06-21,06-21,M,rep,1789-03-04,1791-03-03,NY,,3.0,Federalist,,Cancer,42.0,42.0,44.0,44.0,729.0,1.0,12.0
William Wyatt Bibb,1781-10-02,10-02,M,rep,1807-01-26,1807-03-03,GA,,-1.0,Republican,,Libra,25.0,25.0,25.0,25.0,36.0,0.0,1.0
Abijah  Bigelow,1775-12-05,12-05,M,rep,1809-05-22,1811-03-03,MA,,11.0,Federalist,,Sagittarius,33.0,33.0,35.0,35.0,650.0,1.0,9.0
Thomas  Bines,,,M,rep,1813-05-24,1815-03-03,NJ,,3.0,Republican,,,,,,,648.0,1.0,9.0
Jesse  Bledsoe,1776-04-06,04-06,M,sen,1813-05-24,1815-03-03,KY,3.0,,Republican,,Aries,37.0,37.0,38.0,38.0,648.0,1.0,9.0
Shadrack  Bond,1773-11-24,11-24,M,rep,1811-11-04,1813-03-03,IL,,-1.0,,,Sagittarius,37.0,37.0,39.0,39.0,485.0,1.0,4.0
John Henry Bowen,,,M,rep,1813-05-24,1815-03-03,TN,,4.0,Republican,,,,,,,648.0,1.0,9.0
John Myer Bowers,1772-09-25,09-25,M,rep,1813-05-24,1815-03-03,NY,,15.0,Federalist,,Libra,40.0,40.0,42.0,42.0,648.0,1.0,9.0
Alexander  Boyd,1764-09-14,09-14,M,rep,1813-05-24,1815-03-03,NY,,13.0,Federalist,,Virgo,48.0,48.0,50.0,50.0,648.0,1.0,9.0
Robert  Brown,1744-12-25,12-25,M,rep,1797-05-15,1799-03-03,PA,,4.0,Republican,,Capricorn,52.0,52.0,54.0,54.0,657.0,1.0,9.0
William Bellinger Bulloch,,,M,sen,1813-05-24,1813-12-31,GA,2.0,,Republican,,,,,,,221.0,0.0,7.0
Ezra  Butler,1763-09-24,09-24,M,rep,1813-05-24,1815-03-03,VT,,0.0,Republican,,Libra,49.0,49.0,51.0,51.0,648.0,1.0,9.0
Hugh  Caperton,1781-04-17,04-17,M,rep,1813-05-24,1815-03-03,VA,,7.0,Federalist,,Aries,32.0,32.0,33.0,33.0,648.0,1.0,9.0
Langdon  Cheves,1776-09-17,09-17,M,rep,1809-05-22,1811-03-03,SC,,1.0,Republican,,Virgo,32.0,32.0,34.0,34.0,650.0,1.0,9.0
John  Conard,,,M,rep,1813-05-24,1815-03-03,PA,,1.0,Republican,,,,,,,648.0,1.0,9.0
William  Coxe Jr.,1762-05-03,05-03,M,rep,1813-05-24,1815-03-03,NJ,,3.0,Federalist,,Taurus,51.0,51.0,52.0,52.0,648.0,1.0,9.0
Edward  Crouch,1764-11-09,11-09,M,rep,1813-05-24,1815-03-03,PA,,3.0,Republican,,Scorpio,48.0,48.0,50.0,50.0,648.0,1.0,9.0
David  Daggett,1764-12-31,12-31,M,sen,1813-05-24,1819-03-03,CT,3.0,,Federalist,,Capricorn,48.0,48.0,54.0,54.0,2109.0,5.0,9.0
Samuel  Dana,1767-06-26,06-26,M,rep,1813-05-24,1815-03-03,MA,,4.0,Republican,,Cancer,45.0,45.0,47.0,47.0,648.0,1.0,9.0
Roger  Davis,1762-10-02,10-02,M,rep,1811-11-04,1813-03-03,PA,,3.0,Republican,,Libra,49.0,49.0,50.0,50.0,485.0,1.0,4.0
Samuel  Davis,,,M,rep,1813-05-24,1815-03-03,MA,,16.0,Federalist,,,,,,,648.0,1.0,9.0
John  Dawson,,,M,rep,1797-05-15,1799-03-03,VA,,15.0,Republican,,,,,,,657.0,1.0,9.0
Peter  Denoyelles,,,M,rep,1813-05-24,1815-03-03,NY,,3.0,Republican,,,,,,,648.0,1.0,9.0
Daniel  Dewey,1766-01-29,01-29,M,rep,1813-05-24,1815-03-03,MA,,12.0,Federalist,,Aquarius,47.0,47.0,49.0,49.0,648.0,1.0,9.0
William Pope Duval,,,M,rep,1813-05-24,1815-03-03,KY,,10.0,Republican,,,,,,,648.0,1.0,9.0
William  Ely,1765-08-14,08-14,M,rep,1805-12-02,1807-03-03,MA,,5.0,Federalist,,Leo,40.0,40.0,41.0,41.0,456.0,1.0,3.0
David Reid Evans,1769-02-20,02-20,M,rep,1813-05-24,1815-03-03,SC,,5.0,Republican,,Pisces,44.0,44.0,46.0,46.0,648.0,1.0,9.0
Samuel  Farrow,,,M,rep,1813-05-24,1815-03-03,SC,,8.0,Republican,,,,,,,648.0,1.0,9.0
Peter  Forney,1756-04-21,04-21,M,rep,1813-05-24,1815-03-03,NC,,11.0,Republican,,Taurus,57.0,57.0,58.0,58.0,648.0,1.0,9.0
Meshack  Franklin,,,M,rep,1807-10-26,1809-03-03,NC,,12.0,Republican,,,,,,,494.0,1.0,4.0
Eligius  Fromentin,,,M,sen,1813-05-24,1819-03-03,LA,3.0,,Republican,,,,,,,2109.0,5.0,9.0
James  Geddes,1763-07-22,07-22,M,rep,1813-05-24,1815-03-03,NY,,19.0,Federalist,,Cancer,49.0,49.0,51.0,51.0,648.0,1.0,9.0
John  Gloninger,1758-09-19,09-19,M,rep,1813-05-24,1815-03-03,PA,,3.0,Federalist,,Virgo,54.0,54.0,56.0,56.0,648.0,1.0,9.0
Theodore  Gourdin,1764-03-20,03-20,M,rep,1813-05-24,1815-03-03,SC,,3.0,Republican,,Pisces,49.0,49.0,50.0,50.0,648.0,1.0,9.0
Thomas K. Harris,,,M,rep,1813-05-24,1815-03-03,TN,,3.0,Republican,,,,,,,648.0,1.0,9.0
Abraham Joseph Hasbrouck,1773-10-16,10-16,M,rep,1813-05-24,1815-03-03,NY,,7.0,Republican,,Libra,39.0,39.0,41.0,41.0,648.0,1.0,9.0
Joseph H. Hawkins,,,M,rep,1813-05-24,1815-03-03,KY,,2.0,Republican,,,,,,,648.0,1.0,9.0
Edward  Hempstead,1780-06-03,06-03,M,rep,1811-11-04,1813-03-03,MO,,-1.0,,,Gemini,31.0,31.0,32.0,32.0,485.0,1.0,4.0
Samuel  Henderson,1764-11-27,11-27,M,rep,1813-05-24,1815-03-03,PA,,2.0,Federalist,,Sagittarius,48.0,48.0,50.0,50.0,648.0,1.0,9.0
Samuel  Hopkins,1753-04-09,04-09,M,rep,1813-05-24,1815-03-03,KY,,5.0,Republican,,Aries,60.0,60.0,61.0,61.0,648.0,1.0,9.0
Samuel Miles Hopkins,1772-05-09,05-09,M,rep,1813-05-24,1815-03-03,NY,,21.0,Federalist,,Taurus,41.0,41.0,42.0,42.0,648.0,1.0,9.0
Nathaniel Woodhull Howell,1770-01-01,01-01,M,rep,1813-05-24,1815-03-03,NY,,21.0,Federalist,,Capricorn,43.0,43.0,45.0,45.0,648.0,1.0,9.0
Levi  Hubbard,1762-12-19,12-19,M,rep,1813-05-24,1815-03-03,MA,,20.0,Republican,,Sagittarius,50.0,50.0,52.0,52.0,648.0,1.0,9.0
Jacob  Hufty,,,M,rep,1809-05-22,1811-03-03,NJ,,0.0,Republican,,,,,,,650.0,1.0,9.0
Parry Wayne Humphreys,,,M,rep,1813-05-24,1815-03-03,TN,,6.0,Republican,,,,,,,648.0,1.0,9.0
John M. Hyneman,1771-04-25,04-25,M,rep,1811-11-04,1813-03-03,PA,,3.0,Republican,,Taurus,40.0,40.0,41.0,41.0,485.0,1.0,4.0
Richard  Jackson Jr.,1764-07-03,07-03,M,rep,1807-10-26,1809-03-03,RI,,-1.0,Federalist,,Cancer,43.0,43.0,44.0,44.0,494.0,1.0,4.0
William  Kennedy,1768-07-31,07-31,M,rep,1803-10-17,1805-03-03,NC,,3.0,Republican,,Leo,35.0,35.0,36.0,36.0,503.0,1.0,4.0
John  Kershaw,1765-09-12,09-12,M,rep,1813-05-24,1815-03-03,SC,,9.0,Republican,,Virgo,47.0,47.0,49.0,49.0,648.0,1.0,9.0
Abner  Lacock,1770-07-09,07-09,M,rep,1811-11-04,1813-03-03,PA,,11.0,Republican,,Cancer,41.0,41.0,42.0,42.0,485.0,1.0,4.0
John  Lefferts,1785-12-17,12-17,M,rep,1813-05-24,1815-03-03,NY,,1.0,Republican,,Sagittarius,27.0,27.0,29.0,29.0,648.0,1.0,9.0
Jacob  Markell,1770-05-08,05-08,M,rep,1813-05-24,1815-03-03,NY,,14.0,Federalist,,Taurus,43.0,43.0,44.0,44.0,648.0,1.0,9.0
Jeremiah  Mason,1768-04-27,04-27,M,sen,1813-05-24,1817-12-31,NH,3.0,,Federalist,,Taurus,45.0,45.0,49.0,49.0,1682.0,4.0,7.0
Alexander  McKim,1748-01-10,01-10,M,rep,1809-05-22,1811-03-03,MD,,5.0,Republican,,Capricorn,61.0,61.0,63.0,63.0,650.0,1.0,9.0
Morris Smith Miller,1779-07-31,07-31,M,rep,1813-05-24,1815-03-03,NY,,16.0,Federalist,,Leo,33.0,33.0,35.0,35.0,648.0,1.0,9.0
Joseph  Pearson,,,M,rep,1809-05-22,1811-03-03,NC,,10.0,Federalist,,,,,,,650.0,1.0,9.0
Jotham  Post Jr.,1771-04-04,04-04,M,rep,1813-05-24,1815-03-03,NY,,2.0,Federalist,,Aries,42.0,42.0,43.0,43.0,648.0,1.0,9.0
Elisha Reynolds Potter,1764-11-05,11-05,M,rep,1795-12-07,1797-03-03,RI,,-1.0,Federalist,,Scorpio,31.0,31.0,32.0,32.0,452.0,1.0,2.0
John  Rea,1755-01-27,01-27,M,rep,1803-10-17,1805-03-03,PA,,7.0,Republican,,Aquarius,48.0,48.0,50.0,50.0,503.0,1.0,4.0
William  Reed,1776-06-06,06-06,M,rep,1811-11-04,1813-03-03,MA,,2.0,Federalist,,Gemini,35.0,35.0,36.0,36.0,485.0,1.0,4.0
William Merchant Richardson,1774-01-04,01-04,M,rep,1811-11-04,1813-03-03,MA,,4.0,Republican,,Capricorn,37.0,37.0,39.0,39.0,485.0,1.0,4.0
James  Schureman,1756-02-12,02-12,M,rep,1789-03-04,1791-03-03,NJ,,-1.0,Federalist,,Aquarius,33.0,33.0,35.0,35.0,729.0,1.0,12.0
Samuel  Sherwood,1779-04-24,04-24,M,rep,1813-05-24,1815-03-03,NY,,8.0,Federalist,,Taurus,34.0,34.0,35.0,35.0,648.0,1.0,9.0
Zebulon Rudd Shipherd,1768-11-15,11-15,M,rep,1813-05-24,1815-03-03,NY,,12.0,Federalist,,Scorpio,44.0,44.0,46.0,46.0,648.0,1.0,9.0
Richard  Skinner,1778-05-30,05-30,M,rep,1813-05-24,1815-03-03,VT,,0.0,Republican,,Gemini,35.0,35.0,36.0,36.0,648.0,1.0,9.0
Amos  Slaymaker,1755-03-11,03-11,M,rep,1813-05-24,1815-03-03,PA,,3.0,Federalist,,Pisces,58.0,58.0,60.0,60.0,648.0,1.0,9.0
Isaac  Smith,1761-01-04,01-04,M,rep,1813-05-24,1815-03-03,PA,,10.0,Republican,,Capricorn,52.0,52.0,54.0,54.0,648.0,1.0,9.0
John  Smith,1750-05-07,05-07,M,rep,1801-12-07,1803-03-03,VA,,1.0,Republican,,Taurus,51.0,51.0,52.0,52.0,451.0,1.0,2.0
Samuel  Smith,1765-11-11,11-11,M,rep,1813-05-24,1815-03-03,NH,,-1.0,Federalist,,Scorpio,47.0,47.0,49.0,49.0,648.0,1.0,9.0
Richard  Stockton,1764-04-17,04-17,M,sen,1796-01-01,1799-03-03,NJ,2.0,,Federalist,,Aries,31.0,31.0,34.0,34.0,1157.0,3.0,2.0
David  Stone,1770-02-17,02-17,M,rep,1799-12-02,1801-03-03,NC,,8.0,Republican,,Aquarius,29.0,29.0,31.0,31.0,456.0,1.0,3.0
Charles  Tait,1768-02-01,02-01,M,sen,1809-05-22,1813-03-03,GA,3.0,,Republican,,Aquarius,41.0,41.0,45.0,45.0,1381.0,3.0,9.0
Adamson  Tannehill,1750-05-23,05-23,M,rep,1813-05-24,1815-03-03,PA,,14.0,Republican,,Gemini,63.0,63.0,64.0,64.0,648.0,1.0,9.0
Joel  Thompson,1760-10-03,10-03,M,rep,1813-05-24,1815-03-03,NY,,15.0,Federalist,,Libra,52.0,52.0,54.0,54.0,648.0,1.0,9.0
William Hill Wells,1769-01-07,01-07,M,sen,1799-12-02,1805-03-03,DE,2.0,,Federalist,,Capricorn,30.0,30.0,36.0,36.0,1917.0,5.0,3.0
Francis  White,,,M,rep,1813-05-24,1815-03-03,VA,,2.0,Federalist,,,,,,,648.0,1.0,9.0
James  Whitehill,1762-01-31,01-31,M,rep,1813-05-24,1815-03-03,PA,,3.0,Republican,,Aquarius,51.0,51.0,53.0,53.0,648.0,1.0,9.0
